Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
10700,1069.886,110,502,0,384,363,21,0,30,0.9581867,18.66733,18.72881,17.7,True,False
10750,1074.885,100,462,0,289,272,17,0,27,0.959186,17.48918,17.46207,17.92593,True,False
10800,1079.883,98,429,0,311,287,24,1,21,0.9483005,18.31702,18.33578,17.95238,True,False
10850,1084.882,85,389,0,262,253,9,0,22,0.9586399,16.47815,16.49319,16.22727,True,False
10900,1089.881,81,360,0,232,220,12,1,13,0.9452805,17.61111,17.48415,21,True,False
10950,1094.88,75,330,0,113,106,7,0,15,0.9567111,16.21212,16.27619,14.86667,True,False
11000,1099.879,73,299,0,143,141,2,0,9,0.9519389,15.89632,15.97931,13.22222,True,False
11050,1104.877,69,271,0,180,172,8,0,9,0.9410182,17.00369,17.07252,15,True,False
11100,1109.876,73,255,0,98,96,2,0,5,0.9753184,18.14118,18.192,15.6,True,False
11150,1114.875,75,241,0,72,69,3,0,9,0.9680585,15.72614,15.76293,14.77778,True,False
11200,1119.874,81,213,0,88,87,1,0,4,0.9494704,14.71362,14.61244,20,True,False
11250,1124.872,87,193,0,88,87,1,0,4,0.9549805,13.68912,13.75661,10.5,True,False
11300,1129.871,93,173,0,62,62,0,0,3,0.9330606,13.54913,13.40588,21.66667,True,False
11350,1134.87,94,160,0,138,136,2,0,6,0.9336008,12.75,12.59091,16.83333,True,False
11400,1139.869,94,144,0,45,42,3,0,6,0.9212219,11.41667,11.33333,13.33333,True,False
11450,1144.868,110,135,0,77,74,3,0,7,0.9215291,12.57778,12.60938,12,True,False
11500,1149.866,126,125,0,96,88,8,0,10,0.9361235,12.64,12.95652,9,True,False
11550,1154.865,144,110,0,115,106,9,0,12,0.874228,11.32727,11.72449,8.083333,True,False
11600,1159.864,153,101,0,82,76,6,0,7,0.8889208,10.49505,10.64894,8.428572,True,False
11650,1164.863,177,89,0,71,64,7,0,8,0.8801064,9.910112,10.08642,8.125,True,False
11700,1169.861,213,79,0,134,127,7,0,5,0.9464216,13.39241,13.28378,15,True,False
11750,1174.86,234,78,0,167,148,19,0,11,0.8661522,12.26923,12.1791,12.81818,True,False
11800,1179.859,264,74,0,213,180,33,0,11,0.8635879,10.62162,10.74603,9.909091,True,False
11850,1184.858,293,71,0,85,69,16,1,10,0.8555144,10.64789,10.59016,11,True,False
11900,1189.857,327,69,0,73,54,19,0,10,0.8483353,10.95652,11.40678,8.3,True,False
11950,1194.855,375,65,0,137,122,15,0,10,0.853321,9.692307,10.18182,7,True,False
12000,1199.854,414,62,0,184,156,28,1,12,0.7819172,8.387096,8.66,7.25,True,False
12050,1204.853,456,61,0,199,181,18,0,6,0.7798382,8.819673,8.963636,7.5,True,False
12100,1209.852,516,65,0,225,193,32,1,9,0.7249118,7.430769,7.339286,8,True,False
